,Tweet,Polarity,Subjectivity
37,"Euro, lavoro, chiusura. #Salvini e #DiMaio hanno un unico programma di governo. L’Italia può farne a meno. Buon voto a tutti  https://t.co/dAZFFxG0fI?amp=1",0.0,0.0
38,"""Siamo stati censurati fin dall'inizio della campagna elettorale, ci hanno concesso pochissimo spazio per la par condicio, mentre gli altri facevano il bello e il cattivo tempo in TV. Per questo ce ne freghiamo del silenzio elettorale"".
#OraVotoCasaPound 
https://t.co/4E80I3vZt9",0.0,0.0
39,Se la stessa partecipazione alle partite di calcio ci fosse alle elezioni forse si assisterebbe a un vero cambiamento. #elezioni2018 #SilenzioElettorale #LazioJuve,0.0,0.0
40,@pugnodilibri intro del dottor Dorfles attualissimo alla vigilia delle elezioni! @GeppiC,0.0,0.0
41,"Un mostro da evitare. Sei ragioni per cui una coalizione guidata da un Di Maio (gli servirebbe il 40) o da un Salvini (gli basterebbe un voto in più di FI) sarebbe un incubo per l’Italia, l’Europa e la nostra economia. Domenica vale la pena ricordarselo https://t.co/1lAUDWcbGd https://t.co/2HfFEIhm8w",0.0,0.0
42,"""Siamo stati censurati fin dall'inizio della campagna elettorale, ci hanno concesso pochissimo spazio per la par condicio, mentre gli altri facevano il bello e il cattivo tempo in TV. Per questo ce ne freghiamo del silenzio elettorale"".
#OraVotoCasaPound 
https://t.co/4E80I3vZt9",0.0,0.0
43,Come si vota alle elezioni politiche del 4 marzo 2018. https://t.co/Xt43WE2MSG,0.0,0.0
44,Un tranquillo week-end di elezioni #cinemavoto,0.0,0.0
45,"Elezioni, la Ceres regala una birra a chi ha votato. Lo slogan: ""Se lasci scegliere gli altri poi non dire che... https://t.co/5e6XyDF1rT",0.0,0.0
46,LA SERIE A VA ALLE ELEZIONI: https://t.co/jsv4gY76WF tramite @YouTube,0.0,0.0
47,"Quando il ragazzotto di Rignano diceva: ""la sera stessa delle elezioni sapremo chi avrà vinto"" https://t.co/Cw0NSGAMPt",0.0,0.0
48,"Gli scrutatori per i seggi elettorali a Roma,  sono recrutati a discrezione perlopiù tra i lavoratori Atac  Mille dipendenti Atac assenti dal servizio Atac che non garantisce il servizio dal 3 al 6 Marzo.

https://t.co/HGW5HhfHid",0.0,0.0
49,"Per ora siamo in ferie,attendiamo l'esito dell'Elezioni,quindi niente sbarchi,al momento non sono disponibili immigrati da traghettare. https://t.co/y1jU8pMmMj",0.0,0.0
50,"Il @fattoquotidiano pubblica, regione per regione, la lista degli indagati, dei condannati, dei prescritti e dei voltagabbana presenti nelle liste elettorali. Se non sapete per chi votare, cercate almeno di capire per chi NON votare.

https://t.co/f1l7o6IEL0

#elezioni2018 https://t.co/ooFThsXZTg",0.0,0.0
51,"""Siamo stati censurati fin dall'inizio della campagna elettorale, ci hanno concesso pochissimo spazio per la par condicio, mentre gli altri facevano il bello e il cattivo tempo in TV. Per questo ce ne freghiamo del silenzio elettorale"".
#OraVotoCasaPound 
https://t.co/4E80I3vZt9",0.0,0.0
52,"Avete notato che in questa settimana che precede le elezioni politiche non ci sia stato neanche uno sbarco? E che tutte le navi delle ONG sono ormeggiate nei porti? Strano......
#IoVotoM5S 
#M5s 
#M5SALGOVERNO 
#M5SUnicaSalvezza 
#sapevatelo",0.0,0.0
53,"Inizio a silenziare tutti le parole che hanno a che fare con la politica e le elezioni perchè mi sono rotta le palle di avere solo questo argomento in tl 
Ma perchè non votate chi vi pare chi pensate sia giusto/meno peggio e basta madonna",0.0,0.0
54,Elezioni politiche 2018: a thread (scegliete con la testa chi votare non fate cose stupide pensando di fare un torto agli altri perché alla fine colpirete pure voi stessi),0.31547619047619047,0.5
55,"""Elezioni, la Bonino che non t’aspetti: basta latinisti, la scuola prepari al lavoro"". Non ne sbaglia una. La voce del turbocapitalismo sorosiano si è impadronita di lei.",0.0,0.0
56,“Contro le elezioni” di David Van Reybrouck https://t.co/13qkruTJbm via @Il Blog di Beppe Grillo,0.0,0.0
57,@francotaratufo2 @matteorenzi https://t.co/RsBHf7yJ7U   ed ora chi glielo dice  che a dir certe cagateall'inbtelligenza degli Italiani fa oltraggio...,0.0,0.0
58,SOLO CON IL NOSTRO VOTO POSSIAMO FAR SALTARE QUESTO PIANO DEMENZIALE CHE SE NE FREGA DEL VOTO DEGLI ITALIANI.... https://t.co/bP2isi9okq,0.1,1.0
59,"#Grasso o è scemo o ci sta prendendo per il culo.
Dopo le elezioni costruiremo il partito della sinistra? https://t.co/StW2K9O5lI",0.0,0.0
60,"Elezioni 2018 - Il ministro della Difesa M5S Elisabetta Trenta, ""i nostri soldati: professionalità e cuore!"" https://t.co/a6PMawEq9j",0.0,0.0
61,"Elezioni 2018, M5S: assunzioni DS, figure intermedie elette dal CdD, monitoraggio FIT, valutazione docenti non punitiva. Il programma completo - Orizzonte Scuola https://t.co/ItmIogHTK6 via @orizzontescuola",0.4,0.4
62,Elezioni pericolose #cinemavoto,0.0,0.0
63,"Elezioni 2018.
Solo gli stupidi hanno certezze.
Chi ragiona vive nel dubbio...",0.0,0.0
64,"Euro, lavoro, chiusura. #Salvini e #DiMaio hanno un unico programma di governo. L’Italia può farne a meno. Buon voto a tutti  https://t.co/dAZFFxG0fI?amp=1",0.0,0.0
65,"Queste elezioni le passerò con una bottiglia di tequila, Mentana e il suo drinking game",-0.4,0.4
66,"Il voto in diretta! Speciale Elezioni Politiche 2018 - Domenica 4 Marzo dalle 22.30 su Rete8.
La nostra maratona... https://t.co/4hA451hN9d",0.0,0.0
67,"https://t.co/h9uzSDYIAk
Lo capite o no che sono già tutti d'accordo, inciucio a tavolino, #italianisveglia , il 5 Marzo vai a votare per cambiare questo obbrobrio. #maicolbomba , #maiconlapresidentedegliimmigrati .",0.0,0.0
68,"''Silenzio elettorale, che pace'': ironia Twitter alla vigilia del voto https://t.co/XFmZQ4yyVI",0.0,0.0
69,"ahahah ..l'ultimo minuto di questo video è il pezzo più bello della campagna elettorale...per una volta d'accordo con @beppesevergnini (""è una bellissima chiusa"", rivolto a @Berlusconi che guardate che gli dice 😂😂😂)
https://t.co/rK3HDa57Mc
#4marzo #elezioni #silenzioelettorale",0.0,0.0
70,"Comunque vi voglio bene lo stesso, anche se non voterete come me ❤️
#ElezioniPolitiche2018 #elezioni #elezioni2018",0.0,0.0
71,"Siamo l'unica novità politica di queste elezioni perché parliamo dell'unica emergenza del Paese, non quella della neve e della pioggia forte. Quell'emergenza conviene a molti. Ma nessuno parla dell'emergenza disguguaglianza @NFratoianni a Palermo #LiberieUguali #elezioni2018",0.0,0.0
72,Il padre di Francesca Pascale fa un appello pro 5 Stelle sul web. E Berlusconi prende le distanze https://t.co/zOyfXepy9i,0.0,0.0
73,"Ospiti in studio, dati, commenti, opinioni, dirette esterne https://t.co/LSRzBQlR7U",0.0,0.0
74,"Il 4 marzo per chi voterai? Rispondere SOLO ITALIANI e per favore date più RT possibili, ovvero fate girare questo sondaggio, grazie! #SilenzioElettorale #3marzo #ItalyElection2018 #MaratonaMentana #elezioni2018 #ElezioniPolitiche2018 #elezioni #Italy2018Elecitions",0.0,0.0
75,"C'è chi il giorno prima delle elezioni va a marchiare le case degli antifascisti. Non abbiamo problemi a dire di essere #antifascisti e non abbiamo bisogno di nasconderci. Su queste strade se vorrete tornare ai nostri posti ci ritroverete. Per dignità, non per odio. #Mascarin2018",0.0,0.0
76,"#Elezioni, le performance social dei partiti  #Elezioni2018 https://t.co/lghwyQk6k3",0.03333333333333333,0.06666666666666667
77,L’unica certezza di queste #ElezioniPolitiche sono le 12 ore di diretta no-stop di Chicco Mentana #maratonaMentana #elezioni,0.0,0.0
78,"LA RIVELAZIONE DELL'EX GENERALE: ""SBARCHI FERMI PER LE ELEZIONI""... #StopInvasione.. - https://t.co/Ao6QNyQi6d",0.0,0.0
79,"Adesso mi concentro bene sulle #elezioni 
Iniziamo a vedere i programmi dei vari partiti.",0.0,0.0
80,Ad un giorno dalle elezioni l’argomento caldo è Elsa di Frozen https://t.co/JjKFtd9y53,0.0,0.0
81,"#Elezioni in #Puglia, insediati gli oltre quattromila #Seggi: alle urne in 3 milioni e 300mila 
https://t.co/HyOkcB8VQ3
#3milioniE300mila #Aperti #Voto https://t.co/csihp3xg9B",0.0,0.0
82,Queste elezioni ci rovinano anche gli Oscar.,0.0,0.0
83,"Elezioni, l’Italia e il male oscuro della mancanza di leader. Fontana racconta storia e ragioni di un Paese senza guida https://t.co/NF4MYUiK7v via @fattoquotidiano",0.0,0.1
84,Una spiegazione seria del fuori onda e di quel 22%. Da leggere. https://t.co/2gjEfcCKFR,0.0,0.0
85,Quando si usa il cervello invece della pancia https://t.co/qduBvevl5r,0.0,0.0
86,"#Grasso o è scemo o ci sta prendendo per il culo.
Dopo le elezioni costruiremo il partito della sinistra? https://t.co/StW2K9O5lI",0.0,0.0
87,"Elezioni 2018, per chi votano i vip del mondo dello spettacolo? - Il mondo dello spettacolo e quello della politica ormai viaggiano sempre più a braccetto. Se negli Stati Uniti attori come Ronald Reagan e Arnold Schwarzenegger sono diventati rispettiv... https://t.co/goXSssxwgS",0.0,0.0
88,"@PatriziaRametta SVEGLIAMOCI, VOTARE M5S E' UGUALE A VOTARE PD! DOPO LE ELEZIONI DI MAIO CERCHERA' UN'ALLEANZA CON PD E LIBERI E UGUALI. LO SAPPIAMO TUTTI. VOTARE M5S SIGNIFICA VOTARE RENZI E GRASSO! DI MAIO SVENDERA' I PROPRI VOTI PUR DI GOVERNARE INSIEME A RENZI, RINNEGANDO I SUOI ELETTORI!",0.0,0.0
89,"""Siamo stati censurati fin dall'inizio della campagna elettorale, ci hanno concesso pochissimo spazio per la par condicio, mentre gli altri facevano il bello e il cattivo tempo in TV. Per questo ce ne freghiamo del silenzio elettorale"".
#OraVotoCasaPound 
https://t.co/4E80I3vZt9",0.0,0.0
90,"@PatriziaRametta SVEGLIAMOCI, VOTARE M5S E' UGUALE A VOTARE PD! DOPO LE ELEZIONI DI MAIO CERCHERA' UN'ALLEANZA CON PD E LIBERI E UGUALI. LO SAPPIAMO TUTTI. VOTARE M5S SIGNIFICA VOTARE RENZI E GRASSO! DI MAIO SVENDERA' I PROPRI VOTI PUR DI GOVERNARE INSIEME A RENZI, RINNEGANDO I SUOI ELETTORI!",0.0,0.0
91,"#Grasso o è scemo o ci sta prendendo per il culo.
Dopo le elezioni costruiremo il partito della sinistra? https://t.co/StW2K9O5lI",0.0,0.0
92,"""Non ti fidare, ragazzo mio, di quelli che promettono di farti ricco dalla sera alla mattina. Per il solito, o sono matti o imbroglioni!"" dice il Grillo Parlante in un noto libro..
Stasera a Porta a Porta Renzi ha promesso 400mila nuovi assunti nella PA se vince le elezioni...",0.0,0.0
93,"""Andate a votare, magari scheda bianca. Altrimenti non vi lamentate"" https://t.co/fHfNAghMIu",0.0,0.0
94,Annusa… il silenzio prima delle elezioni. https://t.co/VaDBRFWngP,0.0,0.0
95,"Elezioni, indagato un candidato Pd in Calabria: “Interruzione del servizio idrico ai cittadini di Lamezia Terme” – 
#LastMinuteinvestigatedPD
😱
https://t.co/3a6aysXbxr",0.0,0.0
96,"A sorpresa l'endorsement di Diego Fusaro per CasaPound, vera forza antisistema.
#OraVotoCasaPound https://t.co/6hx8ru520M",0.0,0.0
97,"#Gandolfini su @LaVeritaWeb 
""I cattolici sosterranno chi s'impegna a fermare le leggi contro la morale""
#Elezioni
#centrodestra https://t.co/5ZLKJpW6sF",0.0,0.0
98,"Elezioni politiche, insediati i seggi. Nel salernitano sono 1158 - 
https://t.co/8zMEA1PJGc https://t.co/JKU8OI8Umx",0.0,0.0
99,"Emergenza freddo, Borrelli (Verdi): coperte e cibo per i clochard a Napoli. Mobilitazione di volontari e Verdi anche durante i giorni delle elezioni politiche . https://t.co/pt9wjXYz4s",0.0,0.0
